89384 4
596727700 642112111 893244857
33252482 216803070 875470642
750547890 603123091 112087196
4537737 209419370 409907855
66075705 690127683 217196009
703835734 680634296 94258727
138328365 120741188 353511415
351777725 320062252 910450858
450395739 517244565 211270211
796425835 852803194 583274724
438537946 598564402 980690627
507857367 326551395 577418326
110980457 438638590 610670807
320399827 701062796 213735048
863043861 918258804 218272785
543678156 865033883 136864841
516935696 71061649 840700574
836997947 981512506 831545291
206758864 45299068 35839367
912078409 628573791 486235105
363159162 461780769 135177291
689710556 39199094 573715236
128349145 502386252 81572602
681928292 568637652 45069411
452703448 786910436 217985589
170253682 923775276 81029449
241315330 616992201 477223957
222827835 301053843 994159652
268126902 189409561 683673950
749217044 675644665 742949165
210997812 810821956 655027573
102713257 237053543 18186734
457615860 171142497 560413641
26253511 68728259 541279137
665680298 286713847 223207429
441971925 367743295 675910876
58964126 844967251 846164557
212534320 691643254 87479886
401943881 227833556 162824072
930104897 970782720 283467325
593443204 478326645 32684368
830496747 349029730 96198531
854155595 909443371 198911787
922883853 303238859 656527646
209597699 526446287 535297509
429857345 54873514 200977806
127340948 753554422 642949731
818984201 693550659 554430208
899334108 856374730 619480879
722633180 139842054 21424759
53476176 25042773 804046008
402505905 121241303 397489211
164465627 172669441 80502309
467704486 829197087 934657903
846667124 217010947 710058107
901540638 417988752 919655805
507611411 913454834 202029502
201162070 320401393 329370449
910053151 939882272 871001
902411557 813823382 900205109
927454329 617869389 622838288
901211984 867874952 676314463
73881424 948377260 931336719
755594862 735551515 95802346
972605808 298125973 416023183
243110912 70298130 115206658
156565745 272327631 16747295
476967138 601698079 376875058
269365761 602569079 578037127
83189142 502774187 340606629
553574883 978128826 243018185
421449834 506959640 22988866
222343445 438296359 924200849
810411311 386615056 850598624
108537284 655154590 606193486
178835413 770361247 431315645
451163043 639624894 674426556
52861121 16499951 830992301
507946551 447053429 160475790
10720738 787660057 429841550
841365915 30678242 365547043
348325555 906183459 919121925
639138265 682900659 193088110
25753320 533499282 415431555
533424261 992209119 78359217
303785507 423524764 186896500
943410400 97951319 218248264
812426702 781459971 669411306
259480130 794452112 574788778
47140187 76810013 82735329
930334780 442357056 945972418
689034590 361478980 639854684
371935248 554567090 988180238
757950881 822514996 479834854
750160000 900874212 358104525
26201115 87770712 891528785
976668785 158535327 47830644
610645108 827946633 991241043
405097219 255251762 656184097
481907232 190503442 915664226
924264287 988992211 815320764
138259618 628846895 598171895
545343059 469543484 139722836
367858054 949378338 511658083
121248618 159999214 122125316
61535681 51527999 872285315
220071007 99358642 751002781
48017639 943116036 727671565
155785753 599300132 190833024
198805546 367480710 595930243
187797757 35317825 930353826
669161003 486006072 707134464
138704486 625728907 845394081
940599175 137386990 243253492
100598389 112028657 611111545
4642739 984313971 732360162
104001380 587833103 793895842
899633767 168021019 13966849
351450251 358854043 914500839
718930960 954784285 922802943
606765136 737654462 121608489
92771207 444788925 161922597
718500114 142699357 831083599
708403455 385952848 822304436
820432111 849580745 615419963
657262433 434457258 568534703
97611887 80869452 573177441
265632905 94836300 529695172
624486947 861853490 281845290
431787583 637172785 633295540
169442044 758781273 204742851
466747320 920703869 811507987
609446677 604303819 904279193
847915876 426608254 475295658
697496620 42028216 36215464
131953878 463079270 709163926
65339681 36256710 218942710
12692332 418468233 316554596
874545821 700313523 582187501
364234957 186125414 206674447
123016229 390868265 638462030
896236449 202376251 660420425
353056619 959171795 127167745
779664873 286983805 589130773
674209440 323199268 437046648
137288710 32363194 987059620
26061771 103822255 971529849
297046356 420376851 36869529
849876230 2564351 49561860
36001643 61755149 776624032
426869907 700217178 140858989
481762509 213153955 116391569
440934304 340321699 865144370
727918108 929452471 218200988
903633727 219015470 850382212
788513272 58591441 377108004
892335527 30121289 366913065
312712377 66990817 245491187
167793079 969069028 542537542
229548227 745693060 244930123
929765405 739068400 280931766
142919359 855459968 560318024
335757409 573120689 42080533
117726231 791321677 335531188
189258052 494220240 63449295
247849493 871328243 819599373
277970781 238241307 608112645
197477950 483732494 352964523
19063329 878786387 665676899
764756388 123716510 833469977
356341139 257164627 63018203
64317459 817482650 845299959
637438147 859563182 840735669
281276175 47610721 29009429
775496415 111060015 146735659
646824657 783175740 188510063
737582316 243804736 436359555
73831161 596769258 714330335
952617547 114962508 764324636
76334056 948432484 783387965
186015034 863967038 400660704
3497684 561783349 757001843
715577217 255035369 821319301
763187938 136561150 458757447
726764304 135813160 740033622
509940043 324323222 368046388
753744778 760682776 14871044
203030387 327529463 604969711
317992894 91854098 678800871
118941729 875242062 631418418
982908767 128419118 560268825
397208467 885420960 746283859
504760187 706740260 602297894
641321336 18014058 317875110
777134496 610564031 81063047
101457717 978610418 660343703
862140493 845997814 22800097
42186307 450967524 776544875
134040404 129768395 979575261
861798818 613703164 150084507
990217935 26488340 269026235
875638894 625288550 104451353
434895505 227586443 501659819
305425914 397977905 6420006
915989945 331557303 500257693
894600362 991901005 277392188
593114527 14701102 231366257
44082051 643762328 93506749
26366797 475853940 135693055
492586312 625938446 122249810
371591003 894964681 984048627
996879553 999416033 826782913
76982347 353592204 554938158
474960251 212528561 989833662
806517554 712786253 147775928
798418558 990178441 63765872
665636011 74061049 810882585
309398338 20084149 403997112
785252278 8293555 300595514
263707075 130543364 179478662
158671755 967108343 524581325
10604140 793891255 896172327
364196343 201345765 893051879
576724903 43695778 970034226
289511155 191471705 297510828
132205947 255237576 104028381
206266995 66120161 754963291
226351143 322633624 420599301
234644697 475745489 582513991
217704413 655224150 220282620
184812755 32321826 483989694
831220361 928494152 642661449
32566125 674062383 653265588
76261903 496612960 17461930
267733607 794123787 446703184
375487535 898152168 736214338
294124047 505631810 720936637
616757670 926231110 927203631
92503158 361261452 6071126
600243659 581544071 93232174
632565484 65533765 310936586
413575987 560711565 495749340
87638369 66493504 179486053
584251328 83955433 212052177
230891467 383174968 140830431
129043634 119389305 408564038
487191795 692842293 784051572
265939256 472562276 78175618
627200708 478633401 547449639
208744778 571865574 492469148
126794894 882802160 945229158
687506458 231067851 430310993
753999961 410553903 843886979
690471745 475122432 931525348
73646712 615952862 368293027
45552369 24516899 599184493
738394661 661084822 580744478
63473288 591776791 67936272
542106688 991742781 186391880
966488614 336728280 813592587
701807125 281957437 22337364
932874975 712268429 1648610
195945230 408671760 689155067
671067661 192713459 443155028
139536874 561006485 133626772
16570125 12707330 59789836
677654946 445968159 105342204
121948089 366420783 696253216
113690869 552812662 759726504
302935501 366405248 154349543
584892937 241258963 120838156
149677718 242907572 675161632
558349477 932062639 460552959
751062935 227734018 656498188
164585771 213877141 180082200
29809452 126183328 319619073
475777611 84041883 336189197
842198393 780295099 866360495
395011054 392537954 988308583
613932653 399403848 954515803
855191615 372758356 109967655
950615539 47919987 694860592
735194529 508472945 697054661
962928546 17487484 107920489
29322038 50086035 858983423
155505366 369705108 876085545
239547248 558410656 905894997
872358698 424771150 381672607
117413003 265596084 76387351
516816851 72628239 471398404
889575206 182595893 85331056
937495192 729972836 793039022
298484489 427027496 596170912
168488324 534947984 331365440
218574359 246447758 146810337
588279466 122533303 28648727
146690121 880944651 184154092
423977623 115133609 276217691
542090058 191520959 148576389
614718296 662919362 265989391
649830541 600766769 782806241
379803376 246322142 524897798
659347224 842493054 314909342
46811559 26374845 613393830
293259317 25701534 781882153
268308971 54350260 456511
1769973 238504351 441252328
116903581 514722041 440458801
308424539 515814781 716952775
971343900 781804172 259042832
424627020 417126764 726277480
523465513 942024562 376108020
218474918 109450255 608427747
244849763 722844084 267774970
270551296 357242588 314586529
324901555 210215451 460362197
415922257 503984130 728671167
930644297 944442930 730441139
298975430 513912056 847344719
80779601 772954888 8285609
350422716 351748719 979629508
144963629 727856738 256772879
254413883 188800836 780238391
829774318 456575806 998713309
39533258 623678686 96079423
249748708 84040882 219147070
753732837 665228400 544048624
550692119 248185890 959970880
64604174 95530608 743131528
690075413 103816216 42106957
41824131 935962075 975402909
622197220 45251305 178341977
810998056 678006047 175821957
120090213 529235707 430235840
743768898 625315129 112526509
680326131 844462198 152059766
345554530 241027173 401808473
593740419 53514404 8057662
541787378 649162284 411266132
498119945 543785592 328386657
286598371 371704853 18462070
184366027 550046829 912802552
862372073 725868785 387516124
391607780 8620976 51030531
869439260 121147485 23637095
566417810 273207250 767405992
807444982 527532075 300248474
713475738 535589736 645803003
362638021 946855867 92059773
906423612 127758875 486363502
130644816 146220944 984483446
680691644 911539848 123598168
259076781 151572323 307964194
120214108 55119205 22852618
241361592 78756299 414460397
367085194 846162290 136416009
894617268 146410763 702833818
282723355 644730117 362795151
82095573 589306241 76270888
209854447 75669742 291425260
208591743 912669539 50365224
120131590 36267706 181010039
124220264 196748251 861701683
179339468 219600868 973294815
258095766 486577617 93508922
956774407 622993625 187386866
955701521 325827442 554472059
452947989 688622592 449089326
42254229 617409832 731812680
117923970 908835091 813908252
883109860 959200314 23762698
771893917 140210353 84870792
968642167 854428387 57518733
40759386 827723201 181738996
527337002 773748474 213594815
2846978 961135339 471690580
328674419 515607397 280981338
869813363 817213074 236682858
487223194 401542105 689630846
248574636 67966708 584401426
207774950 91729406 554841747
200501654 29116549 437951606
54930040 86635282 62361874
735169592 268374277 31004040
508918065 481969092 924279778
322569756 806176023 304133131
838177152 87157361 306980109
507906578 176356570 635654527
909448682 865987416 357984241
977415390 302905193 845207434
921661147 857746940 93782070
950777695 148214897 154073371
37412976 210576771 354575024
158303605 94097162 262021415
640272696 18376939 997191006
298965070 322510070 358625422
386122430 629490178 681195177
562479000 117661056 371888681
280982767 475645297 879795258
583887959 173369082 789243939
294151250 119667503 619175680
442366147 126257225 540836826
652942917 480832248 344130873
747040078 742853662 381543848
765417017 592561019 539847452
940443438 951186441 32636499
422449967 632381617 331601569
540111022 4270297 570240350
868272670 736581906 132719349
41641752 378342197 266218467
13825606 997517876 702622778
140082831 390871054 996774027
473431430 735001926 439140173
68801444 116545773 92083089
661362462 508909577 691639519
612548902 394062427 309572887
97446871 725663995 250016324
954233519 148420697 672466290
690815425 133656397 65093663
69157621 399874864 933366333
919191848 102497641 827524436
310062901 951788019 693866393
45064826 243444544 833949223
14126951 188043984 159897005
375552879 879683502 228698448
769615305 189256388 890060909
347795652 291789063 355126163
496216348 964255352 452573033
629872744 881865367 259322903
882263959 667748051 950138327
837277951 347788838 871812299
789065970 41655230 643520499
32510513 728120805 953583399
73070848 888017809 851164577
952754350 116716256 717807879
142010737 6777164 945877109
286316152 214419678 568008765
103087855 666992710 915804416
984953221 926315613 264537115
652701271 728970291 746926211
490108 453298942 629190169
894661690 96819440 318984472
